# Path file - Joint configurations (radians)
# Format: joint1 joint2 joint3 joint4 joint5 joint6
-1.493461 -1.199632 0.754451 -0.355272 1.135451 -0.760430
-1.489961 -1.200216 0.751605 -0.362997 1.130274 -0.769094
-1.486461 -1.200801 0.748759 -0.370722 1.125097 -0.777758
-1.482961 -1.201385 0.745913 -0.378447 1.119919 -0.786421
-1.479461 -1.201969 0.743067 -0.386172 1.114742 -0.795085
-1.475961 -1.202553 0.740221 -0.393897 1.109565 -0.803749
-1.472461 -1.203137 0.737375 -0.401622 1.104388 -0.812413
-1.468961 -1.203721 0.734529 -0.409347 1.099211 -0.821076
-1.465460 -1.204305 0.731683 -0.417072 1.094034 -0.829740
-1.461960 -1.204889 0.728836 -0.424797 1.088856 -0.838404
-1.458460 -1.205473 0.725990 -0.432522 1.083679 -0.847067
-1.454960 -1.206057 0.723144 -0.440247 1.078502 -0.855731
-1.451460 -1.206641 0.720298 -0.447972 1.073325 -0.864395
-1.447960 -1.207226 0.717452 -0.455696 1.068148 -0.873059
-1.444460 -1.207810 0.714606 -0.463421 1.062970 -0.881722
-1.440960 -1.208394 0.711760 -0.471146 1.057793 -0.890386
-1.437460 -1.208978 0.708914 -0.478871 1.052616 -0.899050
-1.433960 -1.209562 0.706068 -0.486596 1.047439 -0.907714
-1.430460 -1.210146 0.703221 -0.494321 1.042262 -0.916377
-1.426960 -1.210730 0.700375 -0.502046 1.037085 -0.925041
-1.423460 -1.211314 0.697529 -0.509771 1.031907 -0.933705
-1.419960 -1.211898 0.694683 -0.517496 1.026730 -0.942368
-1.416460 -1.212482 0.691837 -0.525221 1.021553 -0.951032
-1.412960 -1.213067 0.688991 -0.532946 1.016376 -0.959696
-1.409460 -1.213651 0.686145 -0.540671 1.011199 -0.968360
-1.405960 -1.214235 0.683299 -0.548396 1.006022 -0.977023
-1.402460 -1.214819 0.680453 -0.556121 1.000844 -0.985687
-1.398959 -1.215403 0.677606 -0.563846 0.995667 -0.994351
-1.395459 -1.215987 0.674760 -0.571570 0.990490 -1.003015
-1.391959 -1.216571 0.671914 -0.579295 0.985313 -1.011678
-1.388459 -1.217155 0.669068 -0.587020 0.980136 -1.020342
-1.384959 -1.217739 0.666222 -0.594745 0.974959 -1.029006
-1.381459 -1.218323 0.663376 -0.602470 0.969781 -1.037669
-1.377959 -1.218907 0.660530 -0.610195 0.964604 -1.046333
-1.374459 -1.219492 0.657684 -0.617920 0.959427 -1.054997
-1.370959 -1.220076 0.654838 -0.625645 0.954250 -1.063661
-1.367459 -1.220660 0.651991 -0.633370 0.949073 -1.072324
-1.363959 -1.221244 0.649145 -0.641095 0.943895 -1.080988
-1.360459 -1.221828 0.646299 -0.648820 0.938718 -1.089652
-1.356959 -1.222412 0.643453 -0.656545 0.933541 -1.098316
